14,12,1.5,5,0,5,0,0,0
0,147,0,14,0,20,0,0,0
9,42,0,22,7,26,0,19.5,0
13,19.2333333333333,3.5,0,20,25,0,10,0
113,45,0,80,35,159.5,0,10,0
17,79,862,55.5,62,132.666666666667,0,20,0
71.1,0,37.2,36,19,139,0,183.4,0
6.5,21,0,66.65,32.75,180.333333333333,0,47.1666666666667,0
94,29.375,0,9,45.1666666666667,1700,0,71.35,30
226.9,540,0,0,21.475,279.833333333333,3,72.55,0
7.4,8,0,1245.162,165,256,1300,1584.5,0
161.755666666667,1420.639,0,258.156,0,0,0,1157.2775,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
