0,0,0,0,0,10,0,3.5,0,0
0,0,0,0,0,0,0,7,0,0
0,0,16.5,0,0,0,0,0,0,0
0,0,11.95,0,0,0,0,3.5,1,0
0,192,26.1166666666667,0,0,2.38,0,0,0,0
37,0,9.76666666666667,0,0,0,0,0,1.5,0
0,0,12.25,6,10.8,0,0,7,1.1,0
4.8,0,15.045,11.8,0.4,0,10.2,6.4,0,5.1
0,0,5.73333333333333,23.15,4.5,0,0,9.9,0,4.2
0,30.5,15.3666666666667,2.7,14.3,20.15,0,102.883333333333,17.5,0
0,16501.73,16.9166666666667,19.8,13.5,0,0,63.45,5.085,0
3.6,15.55,5.6,101.5,0,0,2,55.7166666666667,8.7,37.6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
